,Right Mass,,Left Mass,
t,x,y,x,y
0,9.46E-02,8.48E-04,9.76E-02,5.00E-03
0.05,9.21E-02,6.81E-04,9.56E-02,4.56E-03
0.101,8.69E-02,-2.62E-04,9.07E-02,4.06E-03
0.151,7.96E-02,-8.02E-04,8.36E-02,3.25E-03
0.202,7.05E-02,-1.26E-03,7.40E-02,2.44E-03
0.252,6.00E-02,-2.12E-03,6.37E-02,1.14E-03
0.302,4.73E-02,-2.66E-03,5.03E-02,6.53E-04
0.353,3.40E-02,-3.67E-03,3.67E-02,-5.21E-05
0.403,2.05E-02,-3.96E-03,2.26E-02,-1.28E-03
0.454,5.72E-03,-3.99E-03,6.38E-03,-1.72E-03
0.504,-9.50E-03,-4.26E-03,-8.56E-03,-1.85E-03
0.554,-2.32E-02,-4.21E-03,-2.33E-02,-1.72E-03
0.605,-3.59E-02,-3.27E-03,-3.79E-02,-2.08E-03
0.655,-4.95E-02,-3.17E-03,-5.21E-02,-1.47E-03
0.706,-6.12E-02,-2.03E-03,-6.41E-02,-1.31E-03
0.756,-7.19E-02,-1.35E-03,-7.43E-02,-6.60E-04
0.806,-8.02E-02,-8.80E-04,-8.33E-02,-4.11E-04
0.857,-8.77E-02,-2.83E-04,-9.06E-02,1.32E-04
0.907,-9.24E-02,4.60E-04,-9.52E-02,5.56E-04
0.958,-9.51E-02,5.92E-04,-9.71E-02,5.89E-04
1.008,-9.59E-02,7.58E-04,-9.69E-02,4.58E-04
1.059,-9.44E-02,5.54E-04,-9.41E-02,5.13E-04
1.109,-9.00E-02,4.02E-04,-8.92E-02,3.37E-04
1.159,-8.40E-02,-3.67E-04,-8.19E-02,-2.06E-04
1.21,-7.66E-02,-7.12E-04,-7.25E-02,-6.93E-04
1.26,-6.69E-02,-1.27E-03,-6.21E-02,-7.92E-04
1.311,-5.55E-02,-1.91E-03,-4.93E-02,-1.39E-03
1.361,-4.22E-02,-2.76E-03,-3.53E-02,-2.19E-03
1.411,-2.89E-02,-2.92E-03,-2.10E-02,-2.13E-03
1.462,-1.48E-02,-3.58E-03,-5.38E-03,-1.66E-03
1.512,-2.93E-05,-3.16E-03,1.00E-02,-1.41E-03
1.563,1.50E-02,-3.24E-03,2.48E-02,-1.55E-03
1.613,2.89E-02,-2.79E-03,3.92E-02,-5.05E-04
1.663,4.23E-02,-2.36E-03,5.29E-02,7.54E-04
1.714,5.50E-02,-1.86E-03,6.47E-02,1.63E-03
1.764,6.68E-02,-1.16E-03,7.56E-02,2.29E-03
1.815,7.59E-02,-9.45E-04,8.44E-02,3.06E-03
1.865,8.42E-02,-3.75E-05,9.07E-02,4.40E-03
1.915,8.99E-02,4.48E-04,9.47E-02,4.78E-03
1.966,9.34E-02,4.07E-04,9.66E-02,5.16E-03
2.016,9.49E-02,6.77E-04,9.65E-02,5.12E-03
2.067,9.43E-02,5.67E-04,9.42E-02,5.02E-03
2.117,9.17E-02,6.44E-04,8.93E-02,4.33E-03
2.167,8.66E-02,-3.11E-04,8.26E-02,3.29E-03
2.218,7.91E-02,-6.40E-04,7.30E-02,2.72E-03
2.268,6.95E-02,-1.36E-03,6.22E-02,1.85E-03
2.319,5.85E-02,-1.80E-03,5.01E-02,9.43E-04
2.369,4.61E-02,-2.75E-03,3.62E-02,-3.53E-04
2.419,3.33E-02,-3.24E-03,2.18E-02,-7.37E-04
2.47,1.91E-02,-3.41E-03,6.79E-03,-1.17E-03
2.52,2.80E-03,-3.78E-03,-7.91E-03,-1.57E-03
2.571,-1.15E-02,-3.86E-03,-2.33E-02,-1.90E-03
2.621,-2.59E-02,-3.43E-03,-3.73E-02,-1.76E-03
2.671,-3.97E-02,-3.01E-03,-5.06E-02,-1.37E-03
2.722,-5.27E-02,-2.61E-03,-6.22E-02,-1.10E-03
2.772,-6.50E-02,-1.85E-03,-7.30E-02,-8.01E-04
2.823,-7.47E-02,-1.41E-03,-8.17E-02,-2.03E-04
2.873,-8.30E-02,-7.49E-04,-8.84E-02,1.57E-04
2.924,-9.04E-02,-1.85E-04,-9.30E-02,5.40E-04
2.974,-9.50E-02,2.45E-04,-9.51E-02,5.25E-04
3.024,-9.73E-02,4.97E-04,-9.47E-02,6.30E-04
3.075,-9.75E-02,6.63E-04,-9.22E-02,6.71E-04
3.125,-9.61E-02,7.01E-04,-8.70E-02,5.06E-04
3.176,-9.20E-02,3.55E-04,-7.93E-02,-1.53E-04
3.226,-8.52E-02,-3.35E-04,-7.00E-02,-9.08E-04
3.276,-7.72E-02,-7.00E-04,-5.97E-02,-9.83E-04
3.327,-6.73E-02,-1.19E-03,-4.68E-02,-1.22E-03
3.377,-5.56E-02,-2.04E-03,-3.31E-02,-1.63E-03
3.428,-4.23E-02,-2.55E-03,-1.90E-02,-1.80E-03
3.478,-2.84E-02,-3.15E-03,-4.74E-03,-1.87E-03
3.528,-1.32E-02,-3.20E-03,1.05E-02,-1.41E-03
3.579,1.68E-03,-3.28E-03,2.47E-02,-1.00E-03
3.629,1.60E-02,-3.10E-03,3.96E-02,-2.27E-04
3.68,3.10E-02,-2.81E-03,5.25E-02,7.57E-04
3.73,4.50E-02,-2.03E-03,6.36E-02,1.27E-03
3.78,5.76E-02,-1.81E-03,7.40E-02,2.50E-03
3.831,6.89E-02,-1.15E-03,8.23E-02,3.19E-03
3.881,7.85E-02,-3.94E-04,8.82E-02,3.62E-03
3.932,8.68E-02,4.90E-04,9.22E-02,4.23E-03
3.982,9.24E-02,5.90E-04,9.39E-02,4.29E-03
4.032,9.58E-02,6.64E-04,9.37E-02,4.15E-03
4.083,9.67E-02,8.52E-04,9.16E-02,3.63E-03
4.133,9.61E-02,7.99E-04,8.70E-02,3.16E-03
4.184,9.29E-02,6.79E-04,7.98E-02,2.79E-03
4.234,8.72E-02,-8.98E-05,7.16E-02,1.68E-03
4.284,7.96E-02,-8.00E-04,6.09E-02,8.89E-04
4.335,6.97E-02,-1.31E-03,4.91E-02,-1.11E-04
4.385,5.84E-02,-2.05E-03,3.51E-02,-9.10E-04
4.436,4.56E-02,-2.55E-03,2.12E-02,-1.44E-03
4.486,3.16E-02,-3.19E-03,7.00E-03,-1.92E-03
4.536,1.67E-02,-3.83E-03,-7.10E-03,-2.35E-03
4.587,1.98E-03,-3.77E-03,-2.17E-02,-2.19E-03
4.637,-1.37E-02,-3.64E-03,-3.57E-02,-2.10E-03
4.688,-2.82E-02,-3.15E-03,-4.80E-02,-1.89E-03
4.738,-4.23E-02,-2.94E-03,-5.97E-02,-1.45E-03
4.788,-5.55E-02,-2.42E-03,-7.02E-02,-9.25E-04
4.839,-6.75E-02,-1.91E-03,-7.84E-02,-1.68E-04
4.889,-7.78E-02,-1.11E-03,-8.51E-02,1.58E-04
4.94,-8.64E-02,-3.01E-04,-8.94E-02,3.45E-04
4.99,-9.34E-02,3.61E-04,-9.17E-02,5.45E-04
5.041,-9.77E-02,6.36E-04,-9.15E-02,7.49E-04
5.091,-0.1,1.04E-03,-8.92E-02,7.07E-04
5.141,-0.1,9.88E-04,-8.42E-02,3.19E-04
5.192,-9.77E-02,7.99E-04,-7.75E-02,-1.21E-05
5.242,-9.33E-02,3.19E-04,-6.85E-02,-6.38E-04
5.293,-8.58E-02,8.71E-05,-5.85E-02,-9.25E-04
5.343,-7.67E-02,-1.07E-03,-4.71E-02,-1.04E-03
5.393,-6.62E-02,-1.87E-03,-3.34E-02,-1.40E-03
5.444,-5.39E-02,-2.29E-03,-2.02E-02,-1.42E-03
5.494,-4.06E-02,-3.03E-03,-6.19E-03,-1.51E-03
5.545,-2.62E-02,-3.52E-03,8.33E-03,-1.24E-03
5.595,-1.02E-02,-3.59E-03,2.27E-02,-1.21E-03
5.645,4.64E-03,-3.83E-03,3.58E-02,-4.51E-04
5.696,1.99E-02,-3.20E-03,4.83E-02,4.45E-04
5.746,3.52E-02,-2.98E-03,5.93E-02,1.18E-03
5.797,4.97E-02,-2.12E-03,6.91E-02,2.11E-03
5.847,6.29E-02,-1.35E-03,7.71E-02,2.55E-03
5.897,7.32E-02,-7.45E-04,8.28E-02,3.02E-03
5.948,8.32E-02,8.99E-05,8.68E-02,3.59E-03
5.998,9.10E-02,7.13E-04,8.88E-02,3.90E-03
6.049,9.64E-02,1.13E-03,8.88E-02,3.68E-03
6.099,9.95E-02,1.04E-03,8.71E-02,3.52E-03
6.149,0.1,1.07E-03,8.26E-02,3.09E-03
6.2,9.89E-02,9.39E-04,7.60E-02,2.64E-03
6.25,9.51E-02,9.85E-04,6.85E-02,1.87E-03
6.301,8.84E-02,1.80E-05,5.82E-02,8.35E-04
6.351,8.02E-02,-5.44E-04,4.74E-02,4.90E-04
6.401,6.90E-02,-1.25E-03,3.47E-02,-3.79E-04
